question_id,question_text,question_type,introduction_text,request_for_answer_text,answer_options_text,instruction_text,quality_mean,language,study,domain,subdomain,concept,concept_subtype,response_scale_basic_choice,number_of_categories,position,question_name,is_gdpr_article_9
2d35367d7129,"Zum Schluss einige Fragen dazu, wie die Demokratie Ihrer Meinung nach gegenwärtig in Österreich funktioniert.  In welchem Maß können die Oppositionsparteien in Österreich Ihrer Meinung nach Kritik an der Regierung üben?",select_one,"Zum Schluss einige Fragen dazu, wie die Demokratie Ihrer Meinung nach gegenwärtig in Österreich funktioniert.",in welchem maß können die oppositionsparteien in österreich ihrer meinung nach kritik an der regierung üben?,"0 überhaupt nicht
1
2
3
4
5
6
7
8
9
10 voll und ganz","Zum Schluss einige Fragen dazu, wie die Demokratie Ihrer Meinung nach gegenwärtig in Österreich funktioniert.",0.56,German,ESS Round 6,National politics,.,All other simple concepts,Judgement,More than two-category scales,11,16,teste16,NA
b9f1b2ead8f4,"Und wo würden Sie auf dieser Skala die Partei einordnen, die Sie persönlich völlig ablehnen?",select_one,"",und wo würden sie auf dieser skala die partei einordnen die sie persönlich völlig ablehnen?,"00. extrem links
01. 
02.
03.
04.
05.
06.
07.
08.
09.
10. extrem rechts","",0.625,German,ESS Round 4,National politics,.,Feeling,.,More than two-category scales,11,297,testc24,NA
1bd8ea8942c7,The next few questions are on a different topic.  How much would you say the political system in [country] allows people like you to have a say in what the government does? Please tick one box.,select_one,The next few questions are on a different topic.,how much would you say the political system in [country] allows people like you to have a say in what the government does?,"Not at all
Very little
Some
Quite a lot
A lot",The next few questions are on a different topic.,0.546,English,ESS Round 7,National politics,.,All other simple concepts,Policy,More than two-category scales,5,217,testf4,NA
37d0520cb84f,It is unfair that elderly people get to vote on issues that will impact younger people much more.,select_one,"",it is unfair that elderly people get to vote on issues that will impact younger people much more,"Strongly agree
Agree
Slightly agree
Neither agree nor disagree
Slightly disagree
Disagree
Strongly disagree","",0.528,English,Pretest SDM 2019,National politics,.,Complex concepts,Other,More than two-category scales,7,31,age20,NA
376aba757e94,Please indicate to what extent you agree or disagree with each of the following statements about doctors in general.  Doctors usually keep the whole truth from their patients,select_one,"",please indicate to what extent you agree or disagree with each of the following statements about doctors in general doctors usually keep the whole truth from their patients,"1 agree strongly
2 agree
3 neither agree nor disagree
4 disagree 
5 disagree strongly","",0.403,English,ESS Round 2,Health,Doctor's treatment,Evaluative belief,.,More than two-category scales,5,399,testa28,NA
3049e65fdb33,"Jetzt einige Fragen dazu, wie die Demokratie Ihrer Meinung nach gegenwärtig in Österreich funktioniert.  Wie oft können die Oppositionsparteien in Österreich Ihrer Meinung nach Kritik an der Regierung üben?  Wie oft können die Medien in Österreich Ihrer Meinung nach Kritik an der Regierung üben?",select_one,"Jetzt einige Fragen dazu, wie die Demokratie Ihrer Meinung nach gegenwärtig in Österreich funktioniert.",wie oft können die medien in österreich ihrer meinung nach kritik an der regierung üben?,"0 nie
1
2
3
4
5
6
7
8
9
10 immer","Jetzt einige Fragen dazu, wie die Demokratie Ihrer Meinung nach gegenwärtig in Österreich funktioniert. Wie oft können die Oppositionsparteien in Österreich Ihrer Meinung nach Kritik an der Regierung üben?",0.537,German,ESS Round 6,National politics,.,All other simple concepts,Judgement,More than two-category scales,11,8,teste8,NA
40632aa9e637,If you had to choose between the following options which one would you prefer?  Please show how close your opinion is to the statements below by choosing a number between 1 and 5.,select_one,If you had to choose between the following options which one would you prefer?,please show how close your opinion is to the statements below by choosing a number between 1 and 5,"01 Men should take as much responsibility as women for the home and the children
02
03
04
05 Women should take more responsibility for the home and the children",If you had to choose between the following options which one would you prefer?,0.444,English,ESS Round 2,Family,Household matters,All other simple concepts,Norm,More than two-category scales,5,408,testa23,NA
ad89644a7274,An alle  Wie viel Zeit verbringen Sie an einem normalen Wochentag mit Radiohören?,select_one,"",an alle wie viel zeit verbringen sie an einem normalen wochentag mit radiohören?,"gar keine Zeit  
weniger als ½ Stunde
mehr als ½ Stunde, bis zu 1 Stunde  
mehr als 1 Stunde, bis zu 1 ½ Stunden 
mehr als 1½ Stunden, bis zu 2 Stunden 
mehr als 2 Stunden, bis zu 2½ Stunden
mehr als 2½ Stunden, bis zu 3 Stunden 
3 Stunden und mehr","",0.584,German,ESS Round 1,Living conditions and background variables,Place of birth,Expectation of future events,.,More than two-category scales,8,6,RdTot,NA
954ea76ade67,"Based on what you believe, how much do you agree or disagree with the following statements?  Smoking can cause… mouth cancer in smokers.",select_one,"",based on what you believe how much do you agree or disagree with the following statements? smoking can cause… mouth cancer in smokers,"Strongly agree
Agree
Neither agree nor disagree
Disagree
Strongly disagree","",0.51,English,AC_HAP,Health,Use of drugs,All other simple concepts,Relationship,More than two-category scales,5,3,.,NA
08bc35e5853b,It is unfair that older people can have a say on issues that will impact younger people much more.,select_one,"",it is unfair that older people can have a say on issues that will impact younger people much more,"Completely agree
Agree
Disagree
Completely disagree","",0.552,English,Pretest SDM 2019,National politics,.,Complex concepts,Other,More than two-category scales,4,29,age30,NA
